Algoritmo,Cantidad de reinas,Tiempo de ejecucion,Numero de soluciones exploradas,Solucion encontrada
Genetic Algorithm,4,0.0,100,True
Genetic Algorithm,4,0.0009992122650146484,200,True
Genetic Algorithm,4,0.0010020732879638672,150,True
Genetic Algorithm,4,0.0009980201721191406,150,True
Genetic Algorithm,4,0.0,100,True
Genetic Algorithm,4,0.0,100,True
Genetic Algorithm,4,0.0009999275207519531,100,True
Genetic Algorithm,4,0.0010061264038085938,150,True
Genetic Algorithm,4,0.0019969940185546875,250,True
Genetic Algorithm,4,0.000997304916381836,200,True
Genetic Algorithm,4,0.001001596450805664,150,True
Genetic Algorithm,4,0.0009984970092773438,200,True
Genetic Algorithm,4,0.0,100,True
Genetic Algorithm,4,0.0010023117065429688,200,True
Genetic Algorithm,4,0.0,100,True
Genetic Algorithm,4,0.0009996891021728516,200,True
Genetic Algorithm,4,0.0,100,True
Genetic Algorithm,4,0.0,100,True
Genetic Algorithm,4,0.0010013580322265625,100,True
Genetic Algorithm,4,0.0009984970092773438,200,True
Genetic Algorithm,4,0.0,100,True
Genetic Algorithm,4,0.0009999275207519531,150,True
Genetic Algorithm,4,0.0009999275207519531,100,True
Genetic Algorithm,4,0.0,100,True
Genetic Algorithm,4,0.0,100,True
Genetic Algorithm,4,0.0020017623901367188,250,True
Genetic Algorithm,4,0.0009963512420654297,100,True
Genetic Algorithm,4,0.0,100,True
Genetic Algorithm,4,0.0,100,True
Genetic Algorithm,4,0.0009975433349609375,200,True
Genetic Algorithm,8,0.0019989013671875,150,True
Genetic Algorithm,8,0.053527116775512695,3000,True
Genetic Algorithm,8,0.9042329788208008,50100,False
Genetic Algorithm,8,0.020000934600830078,1100,True
Genetic Algorithm,8,0.009001016616821289,800,True
Genetic Algorithm,8,0.06298446655273438,3650,True
Genetic Algorithm,8,0.031250953674316406,1600,True
Genetic Algorithm,8,0.5660185813903809,31050,True
Genetic Algorithm,8,0.020000934600830078,1150,True
Genetic Algorithm,8,0.09444761276245117,5350,True
Genetic Algorithm,8,0.015623807907104492,1250,True
Genetic Algorithm,8,0.030997753143310547,1250,True
Genetic Algorithm,8,0.015516281127929688,800,True
Genetic Algorithm,8,0.015642166137695312,1150,True
Genetic Algorithm,8,0.0156252384185791,650,True
Genetic Algorithm,8,0.015617609024047852,1200,True
Genetic Algorithm,8,0.06292152404785156,3450,True
Genetic Algorithm,8,0.8774285316467285,50100,False
Genetic Algorithm,8,0.0185091495513916,1050,True
Genetic Algorithm,8,0.08400416374206543,4850,True
Genetic Algorithm,8,0.8796253204345703,50100,False
Genetic Algorithm,8,0.035513877868652344,2000,True
Genetic Algorithm,8,0.01999974250793457,1150,True
Genetic Algorithm,8,0.022000789642333984,1250,True
Genetic Algorithm,8,0.029000043869018555,1700,True
Genetic Algorithm,8,0.2565431594848633,15050,True
Genetic Algorithm,8,0.01567816734313965,1400,True
Genetic Algorithm,8,0.03165841102600098,2250,True
Genetic Algorithm,8,0.031276702880859375,2000,True
Genetic Algorithm,8,0.07851982116699219,4400,True
Genetic Algorithm,10,0.0625004768371582,2650,True
Genetic Algorithm,10,1.3018097877502441,50100,False
Genetic Algorithm,10,1.2999722957611084,50100,False
Genetic Algorithm,10,1.304701566696167,50100,False
Genetic Algorithm,10,0.05497264862060547,2200,True
Genetic Algorithm,10,1.285456895828247,50100,False
Genetic Algorithm,10,0.14145445823669434,5650,True
Genetic Algorithm,10,0.10936498641967773,4350,True
Genetic Algorithm,10,1.3254015445709229,50100,False
Genetic Algorithm,10,1.3059718608856201,50100,False
Genetic Algorithm,10,1.2874596118927002,50100,False
Genetic Algorithm,10,0.046875953674316406,2050,True
Genetic Algorithm,10,0.528702974319458,19950,True
Genetic Algorithm,10,1.2833373546600342,50100,False
Genetic Algorithm,10,1.2837293148040771,50100,False
Genetic Algorithm,10,0.06000494956970215,2350,True
Genetic Algorithm,10,0.43706512451171875,16650,True
Genetic Algorithm,10,1.2977633476257324,50100,False
Genetic Algorithm,10,0.17390871047973633,6300,True
Genetic Algorithm,10,0.015634775161743164,700,True
Genetic Algorithm,10,1.2726702690124512,50100,False
Genetic Algorithm,10,0.0795135498046875,3100,True
Genetic Algorithm,10,0.04700422286987305,1850,True
Genetic Algorithm,10,1.2953464984893799,50100,False
Genetic Algorithm,10,1.294311761856079,50100,False
Genetic Algorithm,10,1.2789149284362793,50100,False
Genetic Algorithm,10,0.0795145034790039,3150,True
Genetic Algorithm,10,1.3016972541809082,50100,False
Genetic Algorithm,10,0.05451512336730957,2100,True
Genetic Algorithm,10,1.2847816944122314,50100,False
Genetic Algorithm,12,1.8062853813171387,50100,False
Genetic Algorithm,12,1.788261890411377,50100,False
Genetic Algorithm,12,1.8196637630462646,50100,False
Genetic Algorithm,12,1.8328425884246826,50100,False
Genetic Algorithm,12,1.8072643280029297,50100,False
Genetic Algorithm,12,1.8186309337615967,50100,False
Genetic Algorithm,12,0.0839529037475586,2600,True
Genetic Algorithm,12,0.2747681140899658,7350,True
Genetic Algorithm,12,0.08051276206970215,2250,True
Genetic Algorithm,12,1.5849413871765137,43500,True
Genetic Algorithm,12,1.8312780857086182,50100,False
Genetic Algorithm,12,0.1105198860168457,3050,True
Genetic Algorithm,12,1.7908923625946045,50100,False
Genetic Algorithm,12,0.1996901035308838,5250,True
Genetic Algorithm,12,0.24530982971191406,6600,True
Genetic Algorithm,12,0.4350626468658447,12050,True
Genetic Algorithm,12,0.11863970756530762,3300,True
Genetic Algorithm,12,1.8002383708953857,50100,False
Genetic Algorithm,12,1.8256969451904297,50100,False
Genetic Algorithm,12,1.7741060256958008,50100,False
Genetic Algorithm,12,1.8041996955871582,50100,False
Genetic Algorithm,12,1.7748558521270752,50100,False
Genetic Algorithm,12,0.11551213264465332,3250,True
Genetic Algorithm,12,0.21802759170532227,6100,True
Genetic Algorithm,12,0.14594507217407227,4300,True
